"intersection","n_bad","mean_tau","sd_tau","mean_spear","sd_spear"
"A",1,0.933910040270289,0.0129231467047458,0.990644213805924,0.000176474982045568
"A",2,0.933560772496918,0.0142443388346153,0.990475628640718,0.000211089129806701
"A",3,0.935595299938157,0.0116344270978216,0.990942739924253,0.000165955329008694
"A",4,0.935350854936569,0.0114335049790213,0.990955024171831,0.000186746205352902
"A",5,0.93575698374265,0.0128965355516748,0.991091369157833,0.00021539581473547
"A",6,0.932244453699847,0.0152103741495289,0.990408342929008,0.000230395442285465
"A",7,0.932519105662743,0.0149278415077176,0.990139503173283,0.000279250843757809
"A",8,0.932765110427733,0.0139729052025562,0.99031730829318,0.000247992413583268
"A",9,0.930113640507749,0.0149423296521035,0.989682296011188,0.000302731533060279
"A",10,0.929599662209711,0.0149052296751436,0.989676741317217,0.000308315482508999
"A",11,0.929518649812866,0.0162317471985378,0.989625937018406,0.000339088088845085
"A",12,0.930789172335601,0.0132253447510114,0.989941786714686,0.000336801123036812
"A",13,0.928806314442153,0.0137934138287086,0.989479610659595,0.000279626857558374
"A",14,0.929341173112602,0.0144790820208052,0.989622558953651,0.000321390847828472
"A",15,0.92663567490154,0.0131351059061275,0.988972744466208,0.000348303397383619
"A",16,0.927113653348663,0.0126108977901362,0.989116362037773,0.00030478050503323
"A",17,0.924172611235307,0.0156383405829125,0.987860011283665,0.000495385014472437
"A",18,0.921387697206542,0.0153667036770597,0.987521268933105,0.000441821102859482
"A",19,0.922600798896071,0.0144437181635375,0.987873769294195,0.000420295896458648
"A",20,0.924012011661808,0.0142668801509267,0.988195836048705,0.000457750153438533
"A",21,0.921617262819106,0.0145170567896147,0.987604607434372,0.000416076639967349
"A",22,0.919792981940978,0.0165113091159825,0.987319218910586,0.000466156261846299
"A",23,0.919399277978339,0.0178267129045893,0.986680598593228,0.000536154471261769
"A",24,0.918344927536232,0.0161686287039862,0.986828689736764,0.000600039771635054
"A",25,0.915889810760668,0.0173099243716615,0.986084969551457,0.000563223591935754
"A",26,0.914737256070311,0.0159623818943292,0.985657847372526,0.00058692613225874
"A",27,0.911028601330642,0.0172012400999189,0.984754137259299,0.000706951746579463
"A",28,0.90963337334934,0.0168316123539267,0.984242355765836,0.00069965660487954
"A",29,0.911097401912795,0.0185309588568683,0.984667725688061,0.000730577222647222
"A",30,0.908060589569161,0.016525047229639,0.983802907829799,0.000703256431762495
"A",31,0.906892648509218,0.0207699049430045,0.983266687790358,0.000891801171310059
"A",32,0.904734998477003,0.0181478337445933,0.982980398129401,0.000867702385174257
"A",33,0.900031307804021,0.0196661823784401,0.981382118690173,0.000780693966931808
"A",34,0.898781954887218,0.0208037204562382,0.980551906777749,0.000852552654920854
"A",35,0.899275286869465,0.0178415127688328,0.980933138236427,0.000879486206072083
"A",36,0.894063883735312,0.0205773417324853,0.979224005966023,0.00108007628630661
"A",37,0.892259486304027,0.0201307984700225,0.978584065108933,0.000963078967711149
"A",38,0.890958529365945,0.0179832714698448,0.97848677180796,0.000815329382097892
"A",39,0.890346641645164,0.0215547042323589,0.977954374393436,0.00117698042582978
"A",40,0.889453626373626,0.0206354973887559,0.978232874688337,0.00104516019312472
"A",41,0.88234251044047,0.0225974917021683,0.975464127890538,0.00111168152911913
"A",42,0.877755165321943,0.02379469526891,0.973753680076682,0.00138915927912729
"A",43,0.877516652108314,0.0248783068212232,0.973486760618644,0.001270401794711
"A",44,0.873606760204082,0.0214965966025137,0.972223566926771,0.00128159873976074
"A",45,0.875186106442577,0.0245210530528611,0.972780227385072,0.00130719461163616
"A",46,0.86986508115057,0.0253555240763352,0.970646066300536,0.00135810831966951
"A",47,0.863755940953457,0.0253991381504486,0.96758638949651,0.00165414502534704
"A",48,0.859195659216067,0.0286848079065935,0.965749576020885,0.00162957237594526
"A",49,0.86538378729978,0.0257744070943331,0.968444730561547,0.00189172328434725
"A",50,0.857882710204082,0.0273170076890307,0.965529987995198,0.00152550562945717
"A",51,0.860219129579543,0.0258273445308169,0.966499274408559,0.00160537213463774
"A",52,0.850854641211323,0.0257624827889908,0.963105560934051,0.00158820456852336
"A",53,0.849366933818062,0.028414848962896,0.962131547355784,0.00191029027978769
"A",54,0.845233781317405,0.0298393420834815,0.959693168974907,0.00207723796473894
"A",55,0.840197317784257,0.0324578315048363,0.958027241590514,0.00194295128968217
"A",56,0.842297423887588,0.0267357636241725,0.95908343927735,0.00192718680249572
"A",57,0.824100445116318,0.0358221661479598,0.949516395200055,0.00233659244639992
"A",58,0.826710204081633,0.0301187175013655,0.952014687527904,0.00226852490478862
"A",59,0.827355068168346,0.0271827223051083,0.952702204201183,0.00237730637610368
"A",60,0.821110408163265,0.035016695974579,0.948576970788315,0.00252616212493688
"A",61,0.813826180514047,0.0371600717738801,0.944465794351213,0.00229776495461729
"A",62,0.81395842908592,0.0341621469017251,0.944715078636497,0.0024019335003523
"A",63,0.801423783690691,0.0359019271151926,0.938100360144058,0.00251473108447802
"A",64,0.79808875821515,0.0403788931891996,0.935764217551427,0.00282113098447639
"A",65,0.784239131567521,0.0416717561170997,0.927945552348599,0.00266726548032733
"A",66,0.788236036978894,0.0378590811601779,0.930366423492474,0.00235208560080084
"A",67,0.787047315406849,0.0340059335588506,0.931007581058174,0.00270433561015083
"A",68,0.779430612244898,0.0377481392206552,0.926355524278677,0.00251369441849972
"A",69,0.769110416114498,0.0394775429891272,0.918490089022622,0.00269681713817339
"A",70,0.767839290150843,0.0419771253243614,0.918278536458061,0.00326806524602043
"A",71,0.757809036627752,0.0443683902137053,0.911937604386733,0.00282017868312019
"A",72,0.750282706766917,0.0477453326226623,0.90837392641267,0.0027695494756279
